Contest,  Problem,  Difficulty,  Name,  Codeforces URL
1706,  A,  800,  Another String Minimization Problem,  https://codeforces.com/problemset/problem/1706/A
1708,  A,  800,  Difference Operations,  https://codeforces.com/problemset/problem/1708/A
1709,  A,  800,  Three Doors,  https://codeforces.com/problemset/problem/1709/A
1711,  A,  800,  Perfect Permutation,  https://codeforces.com/problemset/problem/1711/A
1712,  A,  800,  Wonderful Permutation,  https://codeforces.com/problemset/problem/1712/A
1712,  B,  800,  Woeful Permutation,  https://codeforces.com/problemset/problem/1712/B
1713,  A,  800,  Traveling Salesman Problem,  https://codeforces.com/problemset/problem/1713/A
1714,  B,  800,  Remove Prefix,  https://codeforces.com/problemset/problem/1714/B
1714,  C,  800,  Minimum  Varied Number,  https://codeforces.com/problemset/problem/1714/C
1715,  A,  800,  Crossmarket,  https://codeforces.com/problemset/problem/1715/A
1716,  A,  800,  2-3 Moves,  https://codeforces.com/problemset/problem/1716/A
1716,  B,  800,  Permutation Chain,  https://codeforces.com/problemset/problem/1716/B
1717,  A,  800,  Madoka and Strange Thoughts,  https://codeforces.com/problemset/problem/1717/A
1719,  A,  800,  Chip Game,  https://codeforces.com/problemset/problem/1719/A
1719,  B,  800,  Mathematical Circus,  https://codeforces.com/problemset/problem/1719/B
1720,  B,  800,  Interesting Sum,  https://codeforces.com/problemset/problem/1720/B
1721,  A,  800,  Image,  https://codeforces.com/problemset/problem/1721/A
1728,  A,  800,  Colored Balls: Revisited,  https://codeforces.com/problemset/problem/1728/A
1728,  B,  800,  Best Permutation,  https://codeforces.com/problemset/problem/1728/B
1730,  A,  800,  Planets,  https://codeforces.com/problemset/problem/1730/A
1731,  A,  800,  Joey Takes Money,  https://codeforces.com/problemset/problem/1731/A
1733,  A,  800,  Consecutive Sum,  https://codeforces.com/problemset/problem/1733/A
1734,  A,  800,  Select Three Sticks,  https://codeforces.com/problemset/problem/1734/A
1734,  B,  800,  Bright, Nice, Brilliant,  https://codeforces.com/problemset/problem/1734/B
1735,  A,  800,  Working Week,  https://codeforces.com/problemset/problem/1735/A
1736,  A,  800,  Make A Equal to B,  https://codeforces.com/problemset/problem/1736/A
1738,  A,  800,  Glory Addicts,  https://codeforces.com/problemset/problem/1738/A
1739,  A,  800,  Immobile Knight,  https://codeforces.com/problemset/problem/1739/A
1743,  A,  800,  Password,  https://codeforces.com/problemset/problem/1743/A
1743,  B,  800,  Permutation Value,  https://codeforces.com/problemset/problem/1743/B
1744,  A,  800,  Number Replacement,  https://codeforces.com/problemset/problem/1744/A
